name,model,dsc,sub,off_pk,sh_pk,pk_pk,off_fit,sh_fit,pk_fit,sp_fit,sp_fit2,sp_limit,off_s,off_e,pk_s,pk_e,sp_s,sp_e,off_fit_s,off_fit_e,sh_fit_s,sh_fit_e,pk_fit_s,pk_fit_e,sp_fit_s,sp_fit_e,fixed_export,ev_s,ev_e,ev_pk,off_limit,billing_day,pea_base,pea_override,glo_rebate,energymadeeasy_planid,bat_cap,bat_chg,bat_dis,bat_eff,soc_min,soc_max,init_soc,chg_pct,dis_pct,inv_cap,ac_cap
FlowPower,hybrid,2.4047,0.0,0.4136,0.4136,0.4136,0.0,0.0,0.0,0.35,0.1,15.0,0.0,0.0,0.0,0.0,17.5,21.5,17.5,21.5,17.5,21.5,17.5,21.5,17.5,21.5,0.0,0.0,0.0,0.0,0.0,4.0,0.017,0.0,0,FP11143383MRE1,0,0,0,0,0,0,0,0,0,0
Origin Battery Starter,fixed_tou,1.2567,0.0,0.33,0.33,0.5731,0.05,0.05,0.18,0.0,0.0,0.0,0.0,0.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0
Origin Battery Maximiser,fixed_tou,1.2567,0.0,0.187,0.187,0.539,0.05,0.05,0.22,0.0,0.0,0.0,0.0,0.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0
ZEROHERO - VPP,fixed_tou,1.584,0.0,0.0,0.407,0.528,0.0,0.0,0.02,0.1,0.0,15.0,11.0,14.0,16.0,23.0,18.0,21.0,23.0,16.0,16.0,23.0,16.0,23.0,18.0,21.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1,,0,0,0,0,0,0,0,0,0,0
Globird Four4Free,fixed_tou,1.30174,0.0,0.25608,0.36385,0.58152,0.0,0.08,0.08,0.0,0.0,0.0,11.0,15.0,16.0,23.0,0.0,0.0,23.0,16.0,16.0,23.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,0.0,0.0,0,GLO1149401MRE1,0,0,0,0,0,0,0,0,0,0
Flow Four4Free,fixed_tou,2.4047,0.0,0.0,0.4136,0.4136,0.0,0.0,0.0,0.2,0.05,15.0,11.0,15.0,0.0,0.0,0.0,0.0,17.5,21.5,17.5,21.5,17.5,21.5,17.5,21.5,0.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0,0,FP11147426MRE1,0,0,0,0,0,0,0,0,0,0
AGL Battery Rewards,fixed_tou,1.58631,0.0,0.21626,0.21626,0.54175,0.03,0.03,0.28,0.03,0.0,0.0,21.0,15.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0
Amber,variable,1.032,0.8213,0,0.0915,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,41.92,11,10,0.9,0.02,1.0,0.5,0.3,0.7,10,14.5

